=== Magic Number Search Results for Range 33-37 ===
Started at: Tue Jun 03 21:02:34 EDT 2025

=== Magic Number Search Results for Range 33-37 ===
Started at: Tue Jun 03 21:02:34 EDT 2025

PROGRESS: [37][Rook] 769 / 1024, Attempt 220000000
PROGRESS: [35][Rook] 771 / 1024, Attempt 160000000
PROGRESS: [37][Rook] 769 / 1024, Attempt 230000000
PROGRESS: [35][Rook] 771 / 1024, Attempt 170000000
PROGRESS: [37][Rook] 769 / 1024, Attempt 240000000
PROGRESS: [35][Rook] 771 / 1024, Attempt 180000000
PROGRESS: [35][Rook] 771 / 1024, Attempt 190000000
PROGRESS: [37][Rook] 769 / 1024, Attempt 250000000
PROGRESS: [35][Rook] 772 / 1024, Attempt 200000000
PROGRESS: [37][Rook] 769 / 1024, Attempt 260000000
PROGRESS: [35][Rook] 772 / 1024, Attempt 210000000
PROGRESS: [37][Rook] 769 / 1024, Attempt 270000000
PROGRESS: [35][Rook] 772 / 1024, Attempt 220000000
PROGRESS: [37][Rook] 769 / 1024, Attempt 280000000
PROGRESS: [35][Rook] 772 / 1024, Attempt 230000000
PROGRESS: [37][Rook] 769 / 1024, Attempt 290000000
PROGRESS: [35][Rook] 772 / 1024, Attempt 240000000
PROGRESS: [37][Rook] 769 / 1024, Attempt 300000000
PROGRESS: [35][Rook] 772 / 1024, Attempt 250000000
PROGRESS: [37][Rook] 769 / 1024, Attempt 310000000
PROGRESS: [35][Rook] 774 / 1024, Attempt 260000000
PROGRESS: [35][Rook] 774 / 1024, Attempt 270000000
PROGRESS: [37][Rook] 769 / 1024, Attempt 320000000
PROGRESS: [35][Rook] 774 / 1024, Attempt 280000000
PROGRESS: [37][Rook] 769 / 1024, Attempt 330000000
PROGRESS: [35][Rook] 774 / 1024, Attempt 290000000
PROGRESS: [37][Rook] 769 / 1024, Attempt 340000000
PROGRESS: [35][Rook] 774 / 1024, Attempt 300000000
PROGRESS: [37][Rook] 769 / 1024, Attempt 350000000
PROGRESS: [35][Rook] 774 / 1024, Attempt 310000000
PROGRESS: [37][Rook] 769 / 1024, Attempt 360000000
PROGRESS: [35][Rook] 774 / 1024, Attempt 320000000
PROGRESS: [37][Rook] 769 / 1024, Attempt 370000000
PROGRESS: [35][Rook] 774 / 1024, Attempt 330000000
PROGRESS: [37][Rook] 769 / 1024, Attempt 380000000
PROGRESS: [35][Rook] 774 / 1024, Attempt 340000000
PROGRESS: [35][Rook] 774 / 1024, Attempt 350000000
PROGRESS: [37][Rook] 769 / 1024, Attempt 390000000
PROGRESS: [35][Rook] 774 / 1024, Attempt 360000000
PROGRESS: [37][Rook] 769 / 1024, Attempt 400000000
PROGRESS: [35][Rook] 774 / 1024, Attempt 370000000
PROGRESS: [37][Rook] 769 / 1024, Attempt 410000000
PROGRESS: [35][Rook] 774 / 1024, Attempt 380000000
PROGRESS: [37][Rook] 769 / 1024, Attempt 420000000
PROGRESS: [35][Rook] 774 / 1024, Attempt 390000000
PROGRESS: [37][Rook] 769 / 1024, Attempt 430000000
PROGRESS: [35][Rook] 774 / 1024, Attempt 400000000
PROGRESS: [37][Rook] 769 / 1024, Attempt 440000000
PROGRESS: [35][Rook] 774 / 1024, Attempt 410000000
PROGRESS: [37][Rook] 773 / 1024, Attempt 450000000
PROGRESS: [35][Rook] 774 / 1024, Attempt 420000000
PROGRESS: [35][Rook] 774 / 1024, Attempt 430000000
PROGRESS: [37][Rook] 773 / 1024, Attempt 460000000
PROGRESS: [35][Rook] 774 / 1024, Attempt 440000000
PROGRESS: [37][Rook] 773 / 1024, Attempt 470000000
PROGRESS: [35][Rook] 774 / 1024, Attempt 450000000
PROGRESS: [37][Rook] 773 / 1024, Attempt 480000000
PROGRESS: [35][Rook] 774 / 1024, Attempt 460000000
PROGRESS: [37][Rook] 773 / 1024, Attempt 490000000
PROGRESS: [35][Rook] 774 / 1024, Attempt 470000000

=== FINAL SUMMARY ===
Completed at: Tue Jun 03 23:52:34 EDT 2025

Rook Magics:
rook_magics[33] = 0x43fd0600820041e2L;
rook_magics[34] = 0x9a19e4c082001600L;

Bishop Magics:
PROGRESS: [35][Rook] 774 / 1024, Attempt 480000000
PROGRESS: [35][Rook] 774 / 1024, Attempt 490000000
PROGRESS: [36][Rook] 192 / 1024, Attempt 0
PROGRESS: [36][Rook] 641 / 1024, Attempt 10000000
PROGRESS: [36][Rook] 769 / 1024, Attempt 20000000
PROGRESS: [36][Rook] 769 / 1024, Attempt 30000000
PROGRESS: [36][Rook] 769 / 1024, Attempt 40000000
[36][Rook] - 2e652e001600205a - Took 45441312 attempts, 4.42 minutes
PROGRESS: [37][Rook] 216 / 1024, Attempt 0
PROGRESS: [37][Rook] 640 / 1024, Attempt 10000000
PROGRESS: [37][Rook] 640 / 1024, Attempt 20000000
PROGRESS: [37][Rook] 640 / 1024, Attempt 30000000
PROGRESS: [37][Rook] 640 / 1024, Attempt 40000000
PROGRESS: [37][Rook] 640 / 1024, Attempt 50000000
PROGRESS: [37][Rook] 645 / 1024, Attempt 60000000
PROGRESS: [37][Rook] 645 / 1024, Attempt 70000000
PROGRESS: [37][Rook] 645 / 1024, Attempt 80000000
PROGRESS: [37][Rook] 645 / 1024, Attempt 90000000
PROGRESS: [37][Rook] 645 / 1024, Attempt 100000000
PROGRESS: [37][Rook] 684 / 1024, Attempt 110000000
PROGRESS: [37][Rook] 684 / 1024, Attempt 120000000
PROGRESS: [37][Rook] 684 / 1024, Attempt 130000000
PROGRESS: [37][Rook] 772 / 1024, Attempt 140000000
PROGRESS: [37][Rook] 772 / 1024, Attempt 150000000
PROGRESS: [37][Rook] 772 / 1024, Attempt 160000000
PROGRESS: [37][Rook] 772 / 1024, Attempt 170000000
PROGRESS: [37][Rook] 772 / 1024, Attempt 180000000
PROGRESS: [37][Rook] 772 / 1024, Attempt 190000000
PROGRESS: [37][Rook] 772 / 1024, Attempt 200000000
PROGRESS: [37][Rook] 772 / 1024, Attempt 210000000
PROGRESS: [37][Rook] 772 / 1024, Attempt 220000000
PROGRESS: [37][Rook] 772 / 1024, Attempt 230000000
PROGRESS: [37][Rook] 772 / 1024, Attempt 240000000
PROGRESS: [37][Rook] 772 / 1024, Attempt 250000000
PROGRESS: [37][Rook] 772 / 1024, Attempt 260000000
PROGRESS: [37][Rook] 772 / 1024, Attempt 270000000
PROGRESS: [37][Rook] 772 / 1024, Attempt 280000000
PROGRESS: [37][Rook] 772 / 1024, Attempt 290000000
PROGRESS: [37][Rook] 772 / 1024, Attempt 300000000
PROGRESS: [37][Rook] 772 / 1024, Attempt 310000000
PROGRESS: [37][Rook] 772 / 1024, Attempt 320000000
PROGRESS: [37][Rook] 772 / 1024, Attempt 330000000
PROGRESS: [37][Rook] 772 / 1024, Attempt 340000000
PROGRESS: [37][Rook] 772 / 1024, Attempt 350000000
PROGRESS: [37][Rook] 772 / 1024, Attempt 360000000
PROGRESS: [37][Rook] 772 / 1024, Attempt 370000000
PROGRESS: [37][Rook] 772 / 1024, Attempt 380000000
PROGRESS: [37][Rook] 772 / 1024, Attempt 390000000
PROGRESS: [37][Rook] 772 / 1024, Attempt 400000000
PROGRESS: [37][Rook] 772 / 1024, Attempt 410000000
PROGRESS: [37][Rook] 772 / 1024, Attempt 420000000
PROGRESS: [37][Rook] 772 / 1024, Attempt 430000000
PROGRESS: [37][Rook] 772 / 1024, Attempt 440000000
PROGRESS: [37][Rook] 772 / 1024, Attempt 450000000
PROGRESS: [37][Rook] 772 / 1024, Attempt 460000000
PROGRESS: [37][Rook] 772 / 1024, Attempt 470000000
PROGRESS: [37][Rook] 772 / 1024, Attempt 480000000
PROGRESS: [37][Rook] 772 / 1024, Attempt 490000000

=== FINAL SUMMARY ===
Completed at: Wed Jun 04 00:52:42 EDT 2025

Rook Magics:
rook_magics[36] = 0x2e652e001600205aL;

Bishop Magics:
